id,keyword,cluster,intent,competition,priority_score,action,existing_slug,target_url,word_target,notes
39,compress pdf for ucas upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-ucas,/guides/compress-pdf-ucas,1500-4000,Thin template — rewrite to 1500+ words
40,compress pdf for uidai upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-uidai,/guides/compress-pdf-uidai,1500-4000,Thin template — rewrite to 1500+ words
41,compress pdf for ukvi upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-ukvi,/guides/compress-pdf-ukvi,1500-4000,Thin template — rewrite to 1500+ words
43,compress pdf for usajobs upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-usajobs,/guides/compress-pdf-usajobs,1500-4000,Thin template — rewrite to 1500+ words
45,compress pdf for whatsapp upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-for-whatsapp,/guides/compress-pdf-for-whatsapp,1500-4000,Thin template — rewrite to 1500+ words
46,compress pdf for workday upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-for-workday,/guides/compress-pdf-for-workday,1500-4000,Thin template — rewrite to 1500+ words
47,compress pdf for yahoo mail upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-for-yahoo-mail,/guides/compress-pdf-for-yahoo-mail,1500-4000,Thin template — rewrite to 1500+ words
70,how do i merge pdf files,PDF Workflows,informational,medium,97,UPGRADE,how-to-merge-pdf-files,/guides/how-to-merge-pdf-files,1500-4000,Thin template — rewrite to 1500+ words
594,sign pdf online,PDF Signing,transactional,medium,97,UPGRADE,sign-pdf,/guides/sign-pdf,1500-4000,
19,compress pdf for email,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-email,/guides/compress-pdf-for-email,1500-4000,Thin template — rewrite to 1500+ words
29,compress pdf for job application,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-job-application,/guides/compress-pdf-for-job-application,1500-4000,Thin template — rewrite to 1500+ words
31,compress pdf for LMS,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-lms,/guides/compress-pdf-for-lms,1500-4000,Thin template — rewrite to 1500+ words
34,compress pdf for passport,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-passport-application,/guides/compress-pdf-for-passport-application,1500-4000,Thin template — rewrite to 1500+ words
42,compress pdf for university,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-university-application,/guides/compress-pdf-for-university-application,1500-4000,Thin template — rewrite to 1500+ words
44,compress pdf for visa,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-visa-application,/guides/compress-pdf-for-visa-application,1500-4000,Thin template — rewrite to 1500+ words
91,how to convert pdf to text,PDF Conversion,informational,medium,96,UPGRADE,how-to-convert-pdf-to-text,/guides/how-to-convert-pdf-to-text,1500-4000,Thin template — rewrite to 1500+ words
92,ocr pdf for e-discovery,PDF Conversion,industry,medium,96,UPGRADE,ocr-pdf-ediscovery,/guides/ocr-pdf-ediscovery,1500-4000,Thin template — rewrite to 1500+ words
94,pdf to text accessibility,PDF Conversion,industry,medium,96,UPGRADE,pdf-to-text-accessibility,/guides/pdf-to-text-accessibility,1500-4000,Thin template — rewrite to 1500+ words
96,pdf to text for python,PDF Conversion,advanced,medium,96,UPGRADE,pdf-to-text-python-workflow,/guides/pdf-to-text-python-workflow,1500-4000,Thin template — rewrite to 1500+ words
99,pdf to text multilingual,PDF Conversion,advanced,medium,96,UPGRADE,pdf-to-text-multilingual,/guides/pdf-to-text-multilingual,1500-4000,Thin template — rewrite to 1500+ words
100,pdf to text on android,PDF Conversion,task-based,medium,96,UPGRADE,pdf-to-text-on-android,/guides/pdf-to-text-on-android,1500-4000,Thin template — rewrite to 1500+ words
101,pdf to text on iphone,PDF Conversion,task-based,medium,96,UPGRADE,pdf-to-text-on-iphone,/guides/pdf-to-text-on-iphone,1500-4000,Thin template — rewrite to 1500+ words
103,scanned pdf to text,PDF Conversion,informational,medium,96,UPGRADE,scanned-pdf-to-text,/guides/scanned-pdf-to-text,1500-4000,Thin template — rewrite to 1500+ words
58,how to compress pdf construction,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-construction,/guides/compress-pdf-construction,1500-4000,Thin template — rewrite to 1500+ words
59,how to compress pdf ecommerce,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-ecommerce,/guides/compress-pdf-ecommerce,1500-4000,Thin template — rewrite to 1500+ words
60,how to compress pdf freelancers,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-freelancers,/guides/compress-pdf-freelancers,1500-4000,Thin template — rewrite to 1500+ words
61,how to compress pdf government,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-government,/guides/compress-pdf-government,1500-4000,Thin template — rewrite to 1500+ words
62,how to compress pdf healthcare-admin,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-healthcare-admin,/guides/compress-pdf-healthcare-admin,1500-4000,Thin template — rewrite to 1500+ words
63,how to compress pdf hr,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-hr,/guides/compress-pdf-hr,1500-4000,Thin template — rewrite to 1500+ words
64,how to compress pdf marketing-agencies,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-marketing-agencies,/guides/compress-pdf-marketing-agencies,1500-4000,Thin template — rewrite to 1500+ words
65,how to compress pdf nonprofits,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-nonprofits,/guides/compress-pdf-nonprofits,1500-4000,Thin template — rewrite to 1500+ words
66,how to compress pdf real-estate,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-real-estate,/guides/compress-pdf-real-estate,1500-4000,Thin template — rewrite to 1500+ words
67,how to compress pdf recruiters,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-recruiters,/guides/compress-pdf-recruiters,1500-4000,Thin template — rewrite to 1500+ words
68,how to compress pdf students,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-students,/guides/compress-pdf-students,1500-4000,Thin template — rewrite to 1500+ words
69,how to compress pdf teachers,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-teachers,/guides/compress-pdf-teachers,1500-4000,Thin template — rewrite to 1500+ words
80,common mistakes when pdf to word for scanned tables,PDF Errors,informational,medium,94,UPGRADE,mistakes-pdf-to-word-for-scanned-tables,/guides/mistakes-pdf-to-word-for-scanned-tables,1500-4000,Thin template — rewrite to 1500+ words
579,pdf to text,PDF Conversion,transactional,medium,94,UPGRADE,pdf-to-text,/guides/pdf-to-text,1500-4000,
158,pdf tool market comparison,PDF Compliance,commercial,medium,93,UPGRADE,pdf-tool-market-comparison,/guides/pdf-tool-market-comparison,1500-4000,Thin template — rewrite to 1500+ words
603,pdf too large to email,PDF Troubleshooting,problem,low,92,CREATE,,/guides/pdf-too-large-to-email,1500-4000,
571,compress pdf to 100kb,PDF Compression,transactional,medium,91,CREATE,,/guides/compress-pdf-to-100kb,1500-4000,
11,ocr vs pdf to text,PDF Collaboration,commercial,medium,90,MAINTAIN,,/guides/ocr-vs-pdf-to-text,1500-4000,Wave upgraded
12,pdf to word vs pdf to text,PDF Collaboration,commercial,medium,90,MAINTAIN,,/guides/pdf-to-word-vs-pdf-to-text,1500-4000,Wave upgraded
117,convert bank-statement pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-bank-statement-pdf-to-word,1500-4000,Wave upgraded
118,convert contract pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-contract-pdf-to-word,1500-4000,Wave upgraded
119,convert credit-note pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-credit-note-pdf-to-word,1500-4000,Wave upgraded
120,convert debit-note pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-debit-note-pdf-to-word,1500-4000,Wave upgraded
121,convert delivery-note pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-delivery-note-pdf-to-word,1500-4000,Wave upgraded
122,convert lease-agreement pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-lease-agreement-pdf-to-word,1500-4000,Wave upgraded
123,convert nda pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-nda-pdf-to-word,1500-4000,Wave upgraded
124,convert purchase-order pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-purchase-order-pdf-to-word,1500-4000,Wave upgraded
125,convert quotation pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-quotation-pdf-to-word,1500-4000,Wave upgraded
126,convert receipt pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-receipt-pdf-to-word,1500-4000,Wave upgraded
127,convert sow pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-sow-pdf-to-word,1500-4000,Wave upgraded
128,convert tax-return pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-tax-return-pdf-to-word,1500-4000,Wave upgraded
129,convert transcript pdf to word,PDF Workflows,transactional,medium,90,MAINTAIN,,/guides/convert-transcript-pdf-to-word,1500-4000,Wave upgraded
566,reduce pdf file size,PDF Compression,transactional,medium,90,CREATE,,/guides/reduce-pdf-file-size,1500-4000,
570,compress pdf for government portal,PDF Compression,problem,low,90,CREATE,,/guides/compress-pdf-for-government-portal,1500-4000,
572,compress pdf to 200kb,PDF Compression,transactional,medium,90,CREATE,,/guides/compress-pdf-to-200kb,1500-4000,
55,what is compress pdf online,PDF Productivity,informational,medium,89,UPGRADE,glossary-compress-pdf-online,/guides/glossary-compress-pdf-online,1500-4000,Thin template — rewrite to 1500+ words
56,what is pdf to text extractor,PDF Productivity,informational,medium,89,UPGRADE,glossary-pdf-to-text-extractor,/guides/glossary-pdf-to-text-extractor,1500-4000,Thin template — rewrite to 1500+ words
57,what is pdf to word converter,PDF Productivity,informational,medium,89,UPGRADE,glossary-pdf-to-word-converter,/guides/glossary-pdf-to-word-converter,1500-4000,Thin template — rewrite to 1500+ words
74,merge pdf for visa application,PDF Workflows,transactional,medium,89,MAINTAIN,,/guides/merge-pdf-visa-application,1500-4000,Wave upgraded
75,merge pdf in order,PDF Workflows,transactional,medium,89,MAINTAIN,,/guides/merge-pdf-custom-order,1500-4000,Wave upgraded
76,merge pdf online,PDF Workflows,transactional,medium,89,MAINTAIN,,/guides/merge-pdf-online,1500-4000,Wave upgraded
77,merge pdf password protected,PDF Workflows,transactional,medium,89,MAINTAIN,,/guides/merge-password-protected-pdf,1500-4000,Wave upgraded
78,merge pdf scanned and digital,PDF Workflows,transactional,medium,89,MAINTAIN,,/guides/merge-scanned-digital-pdf,1500-4000,Wave upgraded
79,merge pdf without losing quality,PDF Workflows,transactional,medium,89,MAINTAIN,,/guides/merge-pdf-without-quality-loss,1500-4000,Wave upgraded
107,pdf to word for resume,PDF Conversion,transactional,medium,89,MAINTAIN,,/guides/pdf-to-word-resume,1500-4000,Wave upgraded
108,pdf to word keep formatting,PDF Conversion,transactional,medium,89,MAINTAIN,,/guides/pdf-to-word-keep-formatting,1500-4000,Wave upgraded
109,pdf to word mac,PDF Conversion,transactional,medium,89,MAINTAIN,,/guides/pdf-to-word-mac,1500-4000,Wave upgraded
110,pdf to word vs google docs,PDF Conversion,transactional,medium,89,MAINTAIN,,/guides/pdf-to-word-vs-google-docs,1500-4000,Wave upgraded
111,pdf to word without microsoft word,PDF Conversion,transactional,medium,89,MAINTAIN,,/guides/pdf-to-word-without-word,1500-4000,Wave upgraded
112,scanned pdf to word,PDF Conversion,transactional,medium,89,MAINTAIN,,/guides/scanned-pdf-to-word,1500-4000,Wave upgraded
130,best free pdf tools 2026,PDF Collaboration,commercial,medium,89,UPGRADE,best-free-pdf-tools-2026,/guides/best-free-pdf-tools-2026,1500-4000,Thin template — rewrite to 1500+ words
131,pdf tool security comparison,PDF Collaboration,commercial,medium,89,UPGRADE,pdf-tool-security-comparison,/guides/pdf-tool-security-comparison,1500-4000,Thin template — rewrite to 1500+ words
134,extract images from pdf,PDF Conversion,transactional,medium,89,UPGRADE,extract-images-from-pdf,/guides/extract-images-from-pdf,1500-4000,Thin template — rewrite to 1500+ words
139,pdf to powerpoint,PDF Conversion,transactional,medium,89,UPGRADE,pdf-to-powerpoint,/guides/pdf-to-powerpoint,1500-4000,Thin template — rewrite to 1500+ words
141,text to pdf,PDF Conversion,transactional,medium,89,UPGRADE,text-to-pdf,/guides/text-to-pdf,1500-4000,Thin template — rewrite to 1500+ words
142,word to pdf,PDF Conversion,transactional,medium,89,UPGRADE,word-to-pdf,/guides/word-to-pdf,1500-4000,Thin template — rewrite to 1500+ words
145,add signature to pdf,PDF Editing,transactional,medium,89,UPGRADE,add-signature-to-pdf,/guides/add-signature-to-pdf,1500-4000,Thin template — rewrite to 1500+ words
148,edit pdf mistakes compliance,PDF Editing,transactional,medium,89,UPGRADE,edit-pdf-mistakes-compliance,/guides/edit-pdf-mistakes-compliance,1500-4000,Thin template — rewrite to 1500+ words
149,edit pdf online free,PDF Editing,transactional,medium,89,UPGRADE,edit-pdf-online-free,/guides/edit-pdf-online-free,1500-4000,Thin template — rewrite to 1500+ words
157,tesseract vs online ocr,PDF Conversion,commercial,medium,89,UPGRADE,tesseract-vs-online-ocr,/guides/tesseract-vs-online-ocr,1500-4000,Thin template — rewrite to 1500+ words
567,compress pdf without losing quality,PDF Compression,informational,medium,88,CREATE,,/guides/compress-pdf-without-losing-quality,1500-4000,
573,compress pdf to 500kb,PDF Compression,transactional,medium,88,CREATE,,/guides/compress-pdf-to-500kb,1500-4000,
586,make scanned pdf searchable,PDF OCR,problem,low,88,CREATE,,/guides/make-scanned-pdf-searchable,1500-4000,
628,government portal pdf compress,PDF for Government Forms,problem,low,88,CREATE,,/guides/government-portal-pdf-compress,1500-4000,
630,ats friendly pdf resume,PDF for Job Applications,problem,medium,88,CREATE,,/guides/ats-friendly-pdf-resume,1500-4000,
574,compress pdf under 1mb,PDF Compression,transactional,medium,87,CREATE,,/guides/compress-pdf-under-1mb,1500-4000,
588,replace text in pdf,PDF Editing,problem,medium,87,CREATE,,/guides/replace-text-in-pdf,1500-4000,
589,redact pdf permanently,PDF Security,problem,low,87,CREATE,,/guides/redact-pdf-permanently,1500-4000,
600,print to pdf mac,PDF Printing,device,medium,87,CREATE,,/guides/print-to-pdf-mac,1500-4000,
622,passport scan pdf size,PDF for Visas,problem,low,87,CREATE,,/guides/passport-scan-pdf-size,1500-4000,
626,irs pdf form fill online,PDF for Government Forms,workflow,medium,87,CREATE,,/guides/irs-pdf-form-fill-online,1500-4000,
13,batch compress pdf files,PDF Compression,commercial,medium,86,MAINTAIN,,/guides/batch-compress-pdf,1500-4000,Wave upgraded
81,ocr pdf arabic,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-arabic,1500-4000,Wave upgraded
82,ocr pdf chinese,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-chinese,1500-4000,Wave upgraded
83,ocr pdf french,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-french,1500-4000,Wave upgraded
84,ocr pdf german,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-german,1500-4000,Wave upgraded
85,ocr pdf hindi,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-hindi,1500-4000,Wave upgraded
86,ocr pdf japanese,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-japanese,1500-4000,Wave upgraded
87,ocr pdf korean,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-korean,1500-4000,Wave upgraded
88,ocr pdf portuguese,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-portuguese,1500-4000,Wave upgraded
89,ocr pdf russian,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-russian,1500-4000,Wave upgraded
90,ocr pdf spanish,PDF OCR,transactional,medium,86,MAINTAIN,,/guides/ocr-pdf-spanish,1500-4000,Wave upgraded
611,compare two pdfs,PDF Collaboration,transactional,medium,86,CREATE,,/guides/compare-two-pdfs,1500-4000,
621,bank statement pdf visa,PDF for Visas,workflow,medium,86,CREATE,,/guides/bank-statement-pdf-visa,1500-4000,
623,uscis pdf upload requirements,PDF for Visas,compliance,low,86,CREATE,,/guides/uscis-pdf-upload-requirements,1500-4000,
632,combine resume cover letter pdf,PDF for Job Applications,workflow,low,86,CREATE,,/guides/combine-resume-cover-letter-pdf,1500-4000,
635,contract pdf redline workflow,PDF for Legal Documents,workflow,low,86,CREATE,,/guides/contract-pdf-redline-workflow,1500-4000,
747,compress pdf for incometax india,PDF for Government Forms,problem,low,86,CREATE,,/guides/compress-pdf-incometax-india,1500-4000,Portal-specific
114,compress pdf made it larger,PDF Troubleshooting,problem-solving,medium,85,MAINTAIN,,/guides/compress-pdf-made-it-larger,1500-4000,Wave upgraded
115,ocr pdf poor quality,PDF Troubleshooting,problem-solving,medium,85,MAINTAIN,,/guides/ocr-pdf-poor-quality,1500-4000,Wave upgraded
116,pdf to word garbled text,PDF Troubleshooting,problem-solving,medium,85,MAINTAIN,,/guides/pdf-to-word-garbled-text,1500-4000,Wave upgraded
568,compress pdf made file larger,PDF Compression,problem,low,85,CREATE,,/guides/compress-pdf-made-file-larger,1500-4000,
575,compress pdf for court e filing,PDF Compression,problem,low,85,CREATE,,/guides/compress-pdf-for-court-e-filing,1500-4000,
604,pdf password not working,PDF Troubleshooting,problem,medium,85,CREATE,,/guides/pdf-password-not-working,1500-4000,
618,smallpdf vs adobe,PDF Collaboration,comparison,medium,85,CREATE,,/guides/smallpdf-vs-adobe,1500-4000,
624,ukvi pdf document rules,PDF for Visas,compliance,low,85,CREATE,,/guides/ukvi-pdf-document-rules,1500-4000,
629,digilocker pdf upload size,PDF for Government Forms,problem,low,85,CREATE,,/guides/digilocker-pdf-upload-size,1500-4000,
741,compress pdf for irs,PDF for Government Forms,problem,low,85,CREATE,,/guides/compress-pdf-irs,1500-4000,Portal-specific
748,compress pdf for gst portal india,PDF for Government Forms,problem,low,85,CREATE,,/guides/compress-pdf-gst-portal-india,1500-4000,Portal-specific
582,heic to pdf,PDF Conversion,transactional,medium,84,CREATE,,/guides/heic-to-pdf,1500-4000,
593,secure pdf before email,PDF Security,workflow,low,84,CREATE,,/guides/secure-pdf-before-email,1500-4000,
595,create fillable pdf,PDF Forms,informational,medium,84,CREATE,,/guides/create-fillable-pdf,1500-4000,
625,schengen visa pdf merge order,PDF for Visas,workflow,low,84,CREATE,,/guides/schengen-visa-pdf-merge-order,1500-4000,
633,pdf job application size limit,PDF for Job Applications,problem,low,84,CREATE,,/guides/pdf-job-application-size-limit,1500-4000,
640,law firm pdf discovery workflow,PDF for Businesses,workflow,low,84,CREATE,,/guides/law-firm-pdf-discovery-workflow,1500-4000,
642,submit homework pdf canvas,PDF for Students,problem,medium,84,CREATE,,/guides/submit-homework-pdf-canvas,1500-4000,
742,compress pdf for uscis,PDF for Visas,problem,low,84,CREATE,,/guides/compress-pdf-uscis,1500-4000,Portal-specific
745,compress pdf for ukvi,PDF for Visas,problem,low,84,UPGRADE,compress-pdf-ukvi,/guides/compress-pdf-ukvi,1500-4000,Portal-specific
973,create fillable pdf form free,PDF Forms,transactional,medium,84,CREATE,,/guides/create-fillable-pdf-form-free,1500-4000,
569,compress scanned pdf,PDF Compression,problem,medium,83,CREATE,,/guides/compress-scanned-pdf,1500-4000,
584,email to pdf,PDF Conversion,workflow,medium,83,CREATE,,/guides/email-to-pdf,1500-4000,
605,pdf blank after merge,PDF Troubleshooting,problem,low,83,CREATE,,/guides/pdf-blank-after-merge,1500-4000,
619,safari save webpage as pdf,PDF Browser Workflows,device,medium,83,CREATE,,/guides/safari-save-webpage-as-pdf,1500-4000,
627,dmv upload pdf size limit,PDF for Government Forms,problem,low,83,CREATE,,/guides/dmv-upload-pdf-size-limit,1500-4000,
638,insurance claim pdf photos,PDF for Businesses,workflow,low,83,CREATE,,/guides/insurance-claim-pdf-photos,1500-4000,
743,compress pdf for dmv,PDF for Government Forms,problem,low,83,CREATE,,/guides/compress-pdf-dmv,1500-4000,Portal-specific
746,compress pdf for schengen,PDF for Visas,problem,low,83,CREATE,,/guides/compress-pdf-schengen,1500-4000,Portal-specific
16,compress pdf for common-app upload,PDF Compression,problem-solving,medium,82,MAINTAIN,,/guides/compress-pdf-common-app,1500-4000,Wave upgraded
17,compress pdf for digilocker upload,PDF Compression,problem-solving,medium,82,MAINTAIN,,/guides/compress-pdf-digilocker,1500-4000,Wave upgraded
22,compress pdf for gst-portal upload,PDF Compression,problem-solving,medium,82,MAINTAIN,,/guides/compress-pdf-gst-portal,1500-4000,Wave upgraded
23,compress pdf for home-affairs-australia upload,PDF Compression,problem-solving,medium,82,MAINTAIN,,/guides/compress-pdf-home-affairs-australia,1500-4000,Wave upgraded
24,compress pdf for immigration-canada upload,PDF Compression,problem-solving,medium,82,MAINTAIN,,/guides/compress-pdf-immigration-canada,1500-4000,Wave upgraded
25,compress pdf for incometax upload,PDF Compression,problem-solving,medium,82,MAINTAIN,,/guides/compress-pdf-incometax,1500-4000,Wave upgraded
28,compress pdf for irctc upload,PDF Compression,problem-solving,medium,82,MAINTAIN,,/guides/compress-pdf-irctc,1500-4000,Wave upgraded
37,compress pdf for schengen-visa upload,PDF Compression,problem-solving,medium,82,MAINTAIN,,/guides/compress-pdf-schengen-visa,1500-4000,Wave upgraded
48,compress pdf on android,PDF Compression,task-based,medium,82,MAINTAIN,,/guides/compress-pdf-on-android,1500-4000,Wave upgraded
49,compress pdf on iphone,PDF Compression,task-based,medium,82,MAINTAIN,,/guides/compress-pdf-on-iphone,1500-4000,Wave upgraded
50,compress pdf on mac,PDF Compression,task-based,medium,82,MAINTAIN,,/guides/compress-pdf-on-mac,1500-4000,Wave upgraded
51,compress pdf on windows,PDF Compression,task-based,medium,82,MAINTAIN,,/guides/compress-pdf-on-windows,1500-4000,Wave upgraded
576,compress pdf for medical records,PDF Compression,problem,low,82,CREATE,,/guides/compress-pdf-for-medical-records,1500-4000,
585,webpage to pdf,PDF Conversion,transactional,medium,82,CREATE,,/guides/webpage-to-pdf,1500-4000,
587,ocr handwriting pdf,PDF OCR,problem,medium,82,CREATE,,/guides/ocr-handwriting-pdf,1500-4000,
615,pdfgear alternative,PDF Collaboration,comparison,medium,82,CREATE,,/guides/pdfgear-alternative,1500-4000,
634,bates numbering pdf,PDF for Legal Documents,workflow,medium,82,CREATE,,/guides/bates-numbering-pdf,1500-4000,
637,real estate disclosure pdf merge,PDF for Businesses,workflow,low,82,CREATE,,/guides/real-estate-disclosure-pdf-merge,1500-4000,
641,student combine lecture pdfs,PDF for Students,workflow,low,82,CREATE,,/guides/student-combine-lecture-pdfs,1500-4000,
646,pdf vs word when to use,PDF Productivity,informational,medium,82,CREATE,,/guides/pdf-vs-word-when-to-use,1500-4000,
650,pdfgear alternative,PDF Collaboration,comparison,medium,82,CREATE,,/compare/pdfgear-alternative,2000-3500,Missing competitor page
