"Cluster","PrimaryKeyword","SecondaryKeywords","SearchIntent","Audience","FunnelStage","DifficultyEst","TrafficPotential","RecommendedURL","ToolURL","InternalLinks","WordCountTarget","Priority","Status","Id"
"Best-of","best invoice generators for nonprofits","top invoice generators nonprofits; nonprofits pdf tools","Commercial","nonprofits","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","19"
"Best-of","best invoice generators for paralegals","top invoice generators paralegals; paralegals pdf tools","Commercial","paralegals","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","20"
"Best-of","best invoice generators for photographers","top invoice generators photographers; photographers pdf tools","Commercial","photographers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","21"
"Best-of","best invoice generators for real estate agents","top invoice generators real estate agents; real estate agents pdf tools","Commercial","real estate agents","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","22"
"Best-of","best invoice generators for recruiters","top invoice generators recruiters; recruiters pdf tools","Commercial","recruiters","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","23"
"Best-of","best invoice generators for remote teams","top invoice generators remote teams; remote teams pdf tools","Commercial","remote teams","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","24"
"Best-of","best invoice generators for researchers","top invoice generators researchers; researchers pdf tools","Commercial","researchers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","25"
"Best-of","best invoice generators for small business","top invoice generators small business; small business pdf tools","Commercial","small business","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","26"
"Best-of","best invoice generators for startups","top invoice generators startups; startups pdf tools","Commercial","startups","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","27"
"Best-of","best invoice generators for students","top invoice generators students; students pdf tools","Commercial","students","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","28"
"Best-of","best invoice generators for tax preparers","top invoice generators tax preparers; tax preparers pdf tools","Commercial","tax preparers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","29"
"Best-of","best invoice generators for teachers","top invoice generators teachers; teachers pdf tools","Commercial","teachers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","30"
"Compare","adobe acrobat alternative","free adobe acrobat alternative; adobe acrobat vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/adobe-acrobat-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","31"
"Compare","foxit alternative","free foxit alternative; foxit vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/foxit-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","32"
"Compare","ilovepdf alternative","free ilovepdf alternative; ilovepdf vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/ilovepdf-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","33"
"Compare","pdf candy alternative","free pdf candy alternative; pdf candy vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/pdf-candy-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","34"
"Compare","pdf24 alternative","free pdf24 alternative; pdf24 vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/pdf24-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","35"
"Compare","pdfelement alternative","free pdfelement alternative; pdfelement vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/pdfelement-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","36"
"Compare","sejda alternative","free sejda alternative; sejda vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/sejda-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","37"
"Compare","smallpdf alternative","free smallpdf alternative; smallpdf vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/smallpdf-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","38"
"Compare","sodapdf alternative","free sodapdf alternative; sodapdf vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/sodapdf-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","39"
"Compare","wondershare alternative","free wondershare alternative; wondershare vs ratpdf","Commercial","Tool shoppers","BOFU","High","High","/compare/wondershare-alternative","/compare","/guides/choose-pdf-tool; /research/pdf-tool-market-comparison","2500-4000","P0","Published","40"
"Comparison","ocr vs pdf to text","difference; which to use","Commercial","Decision makers","MOFU","Low","Medium","/guides/ocr-vs-pdf-to-text","/compare","/guides/choose-pdf-tool","2500-4000","P0","Published","41"
"Comparison","pdf to word vs pdf to text","difference; which to use","Commercial","Decision makers","MOFU","Low","Medium","/guides/pdf-to-word-vs-pdf-to-text","/compare","/guides/choose-pdf-tool","2500-4000","P0","Published","42"
"Compress PDF","batch compress pdf files","","Commercial","SMB; professionals","MOFU","Medium","Medium","/guides/batch-compress-pdf","/pdf/compress","/compress-pdf; /research/pdf-compression-benchmark","2500-4000","P0","Published","43"
"Compress PDF","compress pdf before merge","","Informational","SMB; professionals","MOFU","Medium","Medium","/guides/compress-before-merge-pdf","/pdf/compress","/compress-pdf; /research/pdf-compression-benchmark","3000-5000","P0","Published","44"
"Compress PDF","compress pdf for blackboard upload","pdf size limit blackboard","Problem-solving","blackboard users","MOFU","Low","Medium","/guides/compress-pdf-for-lms","/pdf/compress","/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Merged","45"
"Compress PDF","compress pdf for canvas upload","pdf size limit canvas","Problem-solving","canvas users","MOFU","Low","Medium","/guides/compress-pdf-for-lms","/pdf/compress","/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Merged","46"
"Compress PDF","compress pdf for cloud storage","","Informational","SMB; professionals","MOFU","Medium","Medium","/guides/compress-pdf-cloud-storage","/pdf/compress","/compress-pdf; /research/pdf-compression-benchmark","3000-5000","P0","Published","47"
"Compress PDF","compress pdf for common-app upload","pdf size common-app","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-common-app","/pdf/compress","/compress-pdf; /pdf-size-checker","2000-3500","P0","Published","48"
"Compress PDF","compress pdf for digilocker upload","pdf size digilocker","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-digilocker","/pdf/compress","/compress-pdf; /pdf-size-checker","2000-3500","P0","Published","49"
"Compress PDF","compress pdf for e-filing","reduce pdf e-filing; pdf too large e-filing","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-efiling","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /guides/compress-pdf-guide","2000-3500","P0","Published","50"
"Compress PDF","compress pdf for email","reduce pdf email; pdf too large email","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-for-email","/pdf/compress","/compress-pdf-for-email; /compress-pdf; /research/attachment-size-limits; /guides/compress-pdf-guide","2000-3500","P0","Published","51"
"Compress PDF","compress pdf for gmail upload","pdf size limit gmail","Problem-solving","gmail users","MOFU","Low","Medium","/guides/compress-pdf-for-gmail","/pdf/compress","/guides/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Published","52"
"Compress PDF","compress pdf for government","reduce pdf government; pdf too large government","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-for-government-forms","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /guides/compress-pdf-guide","2000-3500","P0","Published","53"
"Compress PDF","compress pdf for gst-portal upload","pdf size gst-portal","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-gst-portal","/pdf/compress","/compress-pdf; /pdf-size-checker","2000-3500","P0","Published","54"
"Compress PDF","compress pdf for home-affairs-australia upload","pdf size home-affairs-australia","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-home-affairs-australia","/pdf/compress","/guides/compress-pdf-for-visa-application; /pdf-size-checker","2000-3500","P0","Published","55"
"Compress PDF","compress pdf for immigration-canada upload","pdf size immigration-canada","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-immigration-canada","/pdf/compress","/guides/compress-pdf-for-visa-application; /pdf-size-checker","2000-3500","P0","Published","56"
"Compress PDF","compress pdf for incometax upload","pdf size incometax","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-incometax","/pdf/compress","/compress-pdf; /pdf-size-checker","2000-3500","P0","Published","57"
"Compress PDF","compress pdf for indeed upload","pdf size limit indeed","Problem-solving","indeed users","MOFU","Low","Medium","/guides/compress-pdf-for-indeed","/pdf/compress","/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Published","58"
"Compress PDF","compress pdf for insurance","reduce pdf insurance; pdf too large insurance","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-insurance-claims","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /guides/compress-pdf-guide","2000-3500","P0","Published","59"
"Compress PDF","compress pdf for irctc upload","pdf size irctc","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-irctc","/pdf/compress","/compress-pdf; /pdf-size-checker","2000-3500","P0","Published","60"
"Compress PDF","compress pdf for job application","reduce pdf job application; pdf too large job application","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-for-job-application","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /guides/compress-pdf-guide","2000-3500","P0","Published","61"
"Compress PDF","compress pdf for linkedin upload","pdf size limit linkedin","Problem-solving","linkedin users","MOFU","Low","Medium","/guides/compress-pdf-for-linkedin","/pdf/compress","/guides/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Published","62"
"Compress PDF","compress pdf for linkedin-jobs upload","pdf size linkedin-jobs","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-for-linkedin","/pdf/compress","/compress-pdf; /pdf-size-checker","2000-3500","P0","Merged","63"
"Compress PDF","compress pdf for LMS","reduce pdf LMS; pdf too large LMS","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-for-lms","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /guides/compress-pdf-guide","2000-3500","P0","Published","64"
"Compress PDF","compress pdf for monster upload","pdf size monster","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-for-job-application","/pdf/compress","/compress-pdf; /pdf-size-checker","2000-3500","P0","Merged","65"
"Compress PDF","compress pdf for moodle upload","pdf size limit moodle","Problem-solving","moodle users","MOFU","Low","Medium","/guides/compress-pdf-for-lms","/pdf/compress","/guides/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Merged","66"
"Compress PDF","compress pdf for naukri upload","pdf size limit naukri","Problem-solving","naukri users","MOFU","Low","Medium","/guides/compress-pdf-for-naukri","/pdf/compress","/guides/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Published","67"
"Compress PDF","compress pdf for naukri upload","pdf size naukri","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-for-naukri","/pdf/compress","/compress-pdf; /pdf-size-checker","2000-3500","P0","Merged","68"
"Compress PDF","compress pdf for outlook upload","pdf size limit outlook","Problem-solving","outlook users","MOFU","Low","Medium","/guides/compress-pdf-for-outlook","/pdf/compress","/guides/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Published","69"
"Compress PDF","compress pdf for passport","reduce pdf passport; pdf too large passport","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-for-passport-application","/pdf/compress","/compress-pdf-for-passport-application; /guides/compress-pdf-passport-india; /guides/compress-pdf-guide","2000-3500","P0","Published","70"
"Compress PDF","compress pdf for printing","","Informational","SMB; professionals","MOFU","Medium","Medium","/guides/compress-pdf-for-printing","/pdf/compress","/compress-pdf; /guides/compress-pdf-guide","3000-5000","P0","Published","71"
"Compress PDF","compress pdf for protonmail upload","pdf size limit protonmail","Problem-solving","protonmail users","MOFU","Low","Medium","/guides/compress-pdf-for-protonmail","/pdf/compress","/guides/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Published","72"
"Compress PDF","compress pdf for schengen-visa upload","pdf size schengen-visa","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-schengen-visa","/pdf/compress","/guides/compress-pdf-for-visa-application; /pdf-size-checker","2000-3500","P0","Published","73"
"Compress PDF","compress pdf for shine upload","pdf size shine","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-for-naukri","/pdf/compress","/compress-pdf; /pdf-size-checker","2000-3500","P0","Merged","74"
"Compress PDF","compress pdf for telegram upload","pdf size limit telegram","Problem-solving","telegram users","MOFU","Low","Medium","/guides/compress-pdf-for-telegram","/pdf/compress","/guides/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Published","75"
"Compress PDF","compress pdf for ucas upload","pdf size ucas","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-ucas","/pdf/compress","/guides/compress-pdf-for-university-application; /pdf-size-checker","2000-3500","P0","Published","76"
"Compress PDF","compress pdf for uidai upload","pdf size uidai","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-uidai","/pdf/compress","/guides/compress-pdf-digilocker; /guides/compress-pdf-passport-india","2000-3500","P0","Published","77"
"Compress PDF","compress pdf for ukvi upload","pdf size ukvi","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-ukvi","/pdf/compress","/guides/compress-pdf-for-visa-application; /pdf-size-checker","2000-3500","P0","Published","78"
"Compress PDF","compress pdf for university","reduce pdf university; pdf too large university","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-for-university-application","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /guides/compress-pdf-guide","2000-3500","P0","Published","79"
"Compress PDF","compress pdf for usajobs upload","pdf size usajobs","Problem-solving","Applicants","MOFU","Low","Medium","/guides/compress-pdf-usajobs","/pdf/compress","/guides/compress-pdf-for-job-application; /pdf-size-checker","2000-3500","P0","Published","80"
"Compress PDF","compress pdf for visa","reduce pdf visa; pdf too large visa","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-for-visa-application","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /guides/compress-pdf-guide","2000-3500","P0","Published","81"
"Compress PDF","compress pdf for whatsapp","reduce pdf whatsapp; pdf too large whatsapp","Problem-solving","Office workers; applicants","MOFU","Medium","High","/guides/compress-pdf-for-whatsapp","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /guides/compress-pdf-guide","2000-3500","P0","Merged","82"
"Compress PDF","compress pdf for whatsapp upload","pdf size limit whatsapp","Problem-solving","whatsapp users","MOFU","Low","Medium","/guides/compress-pdf-for-whatsapp","/pdf/compress","/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Published","83"
"Compress PDF","compress pdf for workday upload","pdf size limit workday","Problem-solving","workday users","MOFU","Low","Medium","/guides/compress-pdf-for-workday","/pdf/compress","/guides/compress-pdf-for-email; /guides/compress-pdf-for-job-application","2000-3500","P0","Published","84"
"Compress PDF","compress pdf for yahoo mail upload","pdf size limit yahoo mail","Problem-solving","yahoo mail users","MOFU","Low","Medium","/guides/compress-pdf-for-yahoo-mail","/pdf/compress","/guides/compress-pdf-for-email; /research/attachment-size-limits","2000-3500","P0","Published","85"
"Compress PDF","compress pdf on android","reduce pdf size android; android pdf compressor","Task-based","Mobile/desktop users","MOFU","Low","Medium","/guides/compress-pdf-on-android","/pdf/compress","/compress-pdf-on-android; /guides/compress-pdf-guide","2000-3500","P0","Published","86"
"Compress PDF","compress pdf on chromebook","reduce pdf size chromebook; chromebook pdf compressor","Task-based","Mobile/desktop users","MOFU","Low","Medium","/guides/compress-pdf-on-windows","/pdf/compress","/compress-pdf-on-chromebook; /guides/compress-pdf-on-windows","2000-3500","P0","Merged","87"
"Compress PDF","compress pdf on ipad","reduce pdf size ipad; ipad pdf compressor","Task-based","Mobile/desktop users","MOFU","Low","Medium","/guides/compress-pdf-on-iphone","/pdf/compress","/compress-pdf-on-ipad; /guides/compress-pdf-on-iphone","2000-3500","P0","Merged","88"
"Compress PDF","compress pdf on iphone","reduce pdf size iphone; iphone pdf compressor","Task-based","Mobile/desktop users","MOFU","Low","Medium","/guides/compress-pdf-on-iphone","/pdf/compress","/compress-pdf-on-iphone; /guides/compress-pdf-guide","2000-3500","P0","Published","89"
"Compress PDF","compress pdf on mac","reduce pdf size mac; mac pdf compressor","Task-based","Mobile/desktop users","MOFU","Low","Medium","/guides/compress-pdf-on-mac","/pdf/compress","/compress-pdf-on-mac; /guides/compress-pdf-guide","2000-3500","P0","Published","90"
"Compress PDF","compress pdf on windows","reduce pdf size windows; windows pdf compressor","Task-based","Mobile/desktop users","MOFU","Low","Medium","/guides/compress-pdf-on-windows","/pdf/compress","/compress-pdf-on-windows; /guides/compress-pdf-guide","2000-3500","P0","Published","91"
"Compress PDF","compress pdf online free 2024","","Transactional","General","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf","2000-3500","P0","Merged","92"
"Compress PDF","compress pdf online free 2025","","Transactional","General","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf","2000-3500","P0","Merged","93"
"Compress PDF","compress pdf online free 2026","","Transactional","General","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf","2000-3500","P0","Merged","94"
"Compress PDF","compress pdf online free 2027","","Transactional","General","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf","2000-3500","P0","Merged","95"
"Compress PDF","compress pdf to 100kb","reduce pdf 100kb; pdf compressor 100kb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","96"
"Compress PDF","compress pdf to 10mb","reduce pdf 10mb; pdf compressor 10mb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","97"
"Compress PDF","compress pdf to 150kb","reduce pdf 150kb; pdf compressor 150kb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","98"
"Compress PDF","compress pdf to 1mb","reduce pdf 1mb; pdf compressor 1mb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","99"
"Compress PDF","compress pdf to 200kb","reduce pdf 200kb; pdf compressor 200kb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","100"
"Compress PDF","compress pdf to 20mb","reduce pdf 20mb; pdf compressor 20mb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","101"
"Compress PDF","compress pdf to 250kb","reduce pdf 250kb; pdf compressor 250kb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","102"
"Compress PDF","compress pdf to 25mb","reduce pdf 25mb; pdf compressor 25mb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","103"
"Compress PDF","compress pdf to 2mb","reduce pdf 2mb; pdf compressor 2mb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","104"
"Compress PDF","compress pdf to 300kb","reduce pdf 300kb; pdf compressor 300kb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","105"
"Compress PDF","compress pdf to 500kb","reduce pdf 500kb; pdf compressor 500kb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","106"
"Compress PDF","compress pdf to 50kb","reduce pdf 50kb; pdf compressor 50kb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","107"
"Compress PDF","compress pdf to 5mb","reduce pdf 5mb; pdf compressor 5mb","Transactional","General users","BOFU","Medium","High","/guides/compress-pdf-guide","/pdf/compress","/compress-pdf; /research/attachment-size-limits; /pdf-size-checker","2000-3500","P0","Merged","108"
"Compress PDF","compress pdf with images","","Informational","SMB; professionals","MOFU","Medium","Medium","/guides/compress-pdf-with-images","/pdf/compress","/compress-pdf; /research/pdf-compression-benchmark","3000-5000","P0","Published","109"
"Compress PDF","how do i compress pdf for job application","tutorial; step by step","Informational","Beginners","TOFU","Low","Medium","/guides/compress-pdf-for-job-application","/guides/pdf-tools","/guides/pdf-tools","3000-5000","P0","Merged","110"
"Compress PDF","how do i compress pdf for passport","tutorial; step by step","Informational","Beginners","TOFU","Low","Medium","/guides/compress-pdf-for-passport-application","/guides/pdf-tools","/guides/compress-pdf-for-passport-application","3000-5000","P0","Merged","111"
"Compress PDF","how do i compress pdf for university","tutorial; step by step","Informational","Beginners","TOFU","Low","Medium","/guides/compress-pdf-for-university-application","/guides/pdf-tools","/guides/pdf-tools","3000-5000","P0","Merged","112"
"Compress PDF","how do i compress pdf for visa","tutorial; step by step","Informational","Beginners","TOFU","Low","Medium","/guides/compress-pdf-for-visa-application","/guides/pdf-tools","/guides/pdf-tools","3000-5000","P0","Merged","113"
"Compress PDF","how to compress pdf without losing quality","","Informational","SMB; professionals","MOFU","Medium","Medium","/guides/compress-pdf-without-quality-loss","/pdf/compress","/compress-pdf; /research/pdf-compression-benchmark","3000-5000","P0","Published","114"
"Developer","html to pdf api alternatives","developer","Transactional","Developers","MOFU","Low","Medium","/blog/html-to-pdf-developers","/pdf/htmltopdf","/guides/developer-tools; /tools/developer","2000-3500","P0","Published","115"
"Glossary","what is compress pdf online","compress pdf online definition; compress pdf online meaning","Informational","Beginners; students","TOFU","Low","Low","/guides/glossary-compress-pdf-online","/guides/pdf-tools","/guides/pdf-tools","3000-5000","P0","Published","116"
"Glossary","what is merge pdf online","merge pdf online definition; merge pdf online meaning","Informational","Beginners; students","TOFU","Low","Low","/guides/merge-pdf-online","/guides/pdf-tools","/guides/pdf-tools","3000-5000","P0","Merged","117"
