"Id","Cluster","TargetType","Domain","TargetUrl","DR_Est","Cost","RatPDF_Page","Anchor_Text","Pitch","Contact","Priority","Status"
"42","OCR","Resource page","cornell.edu","https://www.cornell.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@cornell.edu OR library@cornell.edu","P1","Not started"
"43","Compress PDF","Resource page","duke.edu","https://www.duke.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@duke.edu OR library@duke.edu","P1","Not started"
"44","Compress PDF","Resource page","duke.edu","https://www.duke.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@duke.edu OR library@duke.edu","P1","Not started"
"45","PDF to Text","Resource page","duke.edu","https://www.duke.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@duke.edu OR library@duke.edu","P1","Not started"
"46","PDF to Text","Resource page","duke.edu","https://www.duke.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@duke.edu OR library@duke.edu","P1","Not started"
"47","OCR","Resource page","duke.edu","https://www.duke.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@duke.edu OR library@duke.edu","P1","Not started"
"48","OCR","Resource page","duke.edu","https://www.duke.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@duke.edu OR library@duke.edu","P1","Not started"
"49","Compress PDF","Resource page","northwestern.edu","https://www.northwestern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@northwestern.edu OR library@northwestern.edu","P1","Not started"
"50","Compress PDF","Resource page","northwestern.edu","https://www.northwestern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@northwestern.edu OR library@northwestern.edu","P1","Not started"
"51","PDF to Text","Resource page","northwestern.edu","https://www.northwestern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@northwestern.edu OR library@northwestern.edu","P1","Not started"
"52","PDF to Text","Resource page","northwestern.edu","https://www.northwestern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@northwestern.edu OR library@northwestern.edu","P1","Not started"
"53","OCR","Resource page","northwestern.edu","https://www.northwestern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@northwestern.edu OR library@northwestern.edu","P1","Not started"
"54","OCR","Resource page","northwestern.edu","https://www.northwestern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@northwestern.edu OR library@northwestern.edu","P1","Not started"
"55","Compress PDF","Resource page","vanderbilt.edu","https://www.vanderbilt.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@vanderbilt.edu OR library@vanderbilt.edu","P1","Not started"
"56","Compress PDF","Resource page","vanderbilt.edu","https://www.vanderbilt.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@vanderbilt.edu OR library@vanderbilt.edu","P1","Not started"
"57","PDF to Text","Resource page","vanderbilt.edu","https://www.vanderbilt.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@vanderbilt.edu OR library@vanderbilt.edu","P1","Not started"
"58","PDF to Text","Resource page","vanderbilt.edu","https://www.vanderbilt.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@vanderbilt.edu OR library@vanderbilt.edu","P1","Not started"
"59","OCR","Resource page","vanderbilt.edu","https://www.vanderbilt.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@vanderbilt.edu OR library@vanderbilt.edu","P1","Not started"
"60","OCR","Resource page","vanderbilt.edu","https://www.vanderbilt.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@vanderbilt.edu OR library@vanderbilt.edu","P1","Not started"
"61","Compress PDF","Resource page","rice.edu","https://www.rice.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@rice.edu OR library@rice.edu","P1","Not started"
"62","Compress PDF","Resource page","rice.edu","https://www.rice.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@rice.edu OR library@rice.edu","P1","Not started"
"63","PDF to Text","Resource page","rice.edu","https://www.rice.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@rice.edu OR library@rice.edu","P1","Not started"
"64","PDF to Text","Resource page","rice.edu","https://www.rice.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@rice.edu OR library@rice.edu","P1","Not started"
"65","OCR","Resource page","rice.edu","https://www.rice.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@rice.edu OR library@rice.edu","P1","Not started"
"66","OCR","Resource page","rice.edu","https://www.rice.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@rice.edu OR library@rice.edu","P1","Not started"
"67","Compress PDF","Resource page","emory.edu","https://www.emory.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@emory.edu OR library@emory.edu","P1","Not started"
"68","Compress PDF","Resource page","emory.edu","https://www.emory.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@emory.edu OR library@emory.edu","P1","Not started"
"69","PDF to Text","Resource page","emory.edu","https://www.emory.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@emory.edu OR library@emory.edu","P1","Not started"
"70","PDF to Text","Resource page","emory.edu","https://www.emory.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@emory.edu OR library@emory.edu","P1","Not started"
"71","OCR","Resource page","emory.edu","https://www.emory.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@emory.edu OR library@emory.edu","P1","Not started"
"72","OCR","Resource page","emory.edu","https://www.emory.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@emory.edu OR library@emory.edu","P1","Not started"
"73","Compress PDF","Resource page","usc.edu","https://www.usc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@usc.edu OR library@usc.edu","P1","Not started"
"74","Compress PDF","Resource page","usc.edu","https://www.usc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@usc.edu OR library@usc.edu","P1","Not started"
"75","PDF to Text","Resource page","usc.edu","https://www.usc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@usc.edu OR library@usc.edu","P1","Not started"
"76","PDF to Text","Resource page","usc.edu","https://www.usc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@usc.edu OR library@usc.edu","P1","Not started"
"77","OCR","Resource page","usc.edu","https://www.usc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@usc.edu OR library@usc.edu","P1","Not started"
"78","OCR","Resource page","usc.edu","https://www.usc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@usc.edu OR library@usc.edu","P1","Not started"
"79","Compress PDF","Resource page","ucla.edu","https://www.ucla.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ucla.edu OR library@ucla.edu","P1","Not started"
"80","Compress PDF","Resource page","ucla.edu","https://www.ucla.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ucla.edu OR library@ucla.edu","P1","Not started"
"81","PDF to Text","Resource page","ucla.edu","https://www.ucla.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ucla.edu OR library@ucla.edu","P1","Not started"
"82","PDF to Text","Resource page","ucla.edu","https://www.ucla.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ucla.edu OR library@ucla.edu","P1","Not started"
"83","OCR","Resource page","ucla.edu","https://www.ucla.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ucla.edu OR library@ucla.edu","P1","Not started"
"84","OCR","Resource page","ucla.edu","https://www.ucla.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ucla.edu OR library@ucla.edu","P1","Not started"
"85","Compress PDF","Resource page","ucsd.edu","https://www.ucsd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ucsd.edu OR library@ucsd.edu","P1","Not started"
"86","Compress PDF","Resource page","ucsd.edu","https://www.ucsd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ucsd.edu OR library@ucsd.edu","P1","Not started"
"87","PDF to Text","Resource page","ucsd.edu","https://www.ucsd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ucsd.edu OR library@ucsd.edu","P1","Not started"
"88","PDF to Text","Resource page","ucsd.edu","https://www.ucsd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ucsd.edu OR library@ucsd.edu","P1","Not started"
"89","OCR","Resource page","ucsd.edu","https://www.ucsd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ucsd.edu OR library@ucsd.edu","P1","Not started"
"90","OCR","Resource page","ucsd.edu","https://www.ucsd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ucsd.edu OR library@ucsd.edu","P1","Not started"
"91","Compress PDF","Resource page","ucsb.edu","https://www.ucsb.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ucsb.edu OR library@ucsb.edu","P1","Not started"
"92","Compress PDF","Resource page","ucsb.edu","https://www.ucsb.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ucsb.edu OR library@ucsb.edu","P1","Not started"
"93","PDF to Text","Resource page","ucsb.edu","https://www.ucsb.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ucsb.edu OR library@ucsb.edu","P1","Not started"
"94","PDF to Text","Resource page","ucsb.edu","https://www.ucsb.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ucsb.edu OR library@ucsb.edu","P1","Not started"
"95","OCR","Resource page","ucsb.edu","https://www.ucsb.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ucsb.edu OR library@ucsb.edu","P1","Not started"
"96","OCR","Resource page","ucsb.edu","https://www.ucsb.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ucsb.edu OR library@ucsb.edu","P1","Not started"
"97","Compress PDF","Resource page","ucdavis.edu","https://www.ucdavis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ucdavis.edu OR library@ucdavis.edu","P1","Not started"
"98","Compress PDF","Resource page","ucdavis.edu","https://www.ucdavis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ucdavis.edu OR library@ucdavis.edu","P1","Not started"
"99","PDF to Text","Resource page","ucdavis.edu","https://www.ucdavis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ucdavis.edu OR library@ucdavis.edu","P1","Not started"
"100","PDF to Text","Resource page","ucdavis.edu","https://www.ucdavis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ucdavis.edu OR library@ucdavis.edu","P1","Not started"
"101","OCR","Resource page","ucdavis.edu","https://www.ucdavis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ucdavis.edu OR library@ucdavis.edu","P1","Not started"
"102","OCR","Resource page","ucdavis.edu","https://www.ucdavis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ucdavis.edu OR library@ucdavis.edu","P1","Not started"
"103","Compress PDF","Resource page","ucirvine.edu","https://www.ucirvine.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ucirvine.edu OR library@ucirvine.edu","P1","Not started"
"104","Compress PDF","Resource page","ucirvine.edu","https://www.ucirvine.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ucirvine.edu OR library@ucirvine.edu","P1","Not started"
"105","PDF to Text","Resource page","ucirvine.edu","https://www.ucirvine.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ucirvine.edu OR library@ucirvine.edu","P1","Not started"
"106","PDF to Text","Resource page","ucirvine.edu","https://www.ucirvine.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ucirvine.edu OR library@ucirvine.edu","P1","Not started"
