id,keyword,cluster,intent,competition,priority_score,action,existing_slug,target_url,word_target,notes
39,compress pdf for ucas upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-ucas,/guides/compress-pdf-ucas,1500-4000,Thin template — rewrite to 1500+ words
40,compress pdf for uidai upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-uidai,/guides/compress-pdf-uidai,1500-4000,Thin template — rewrite to 1500+ words
41,compress pdf for ukvi upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-ukvi,/guides/compress-pdf-ukvi,1500-4000,Thin template — rewrite to 1500+ words
43,compress pdf for usajobs upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-usajobs,/guides/compress-pdf-usajobs,1500-4000,Thin template — rewrite to 1500+ words
45,compress pdf for whatsapp upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-for-whatsapp,/guides/compress-pdf-for-whatsapp,1500-4000,Thin template — rewrite to 1500+ words
46,compress pdf for workday upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-for-workday,/guides/compress-pdf-for-workday,1500-4000,Thin template — rewrite to 1500+ words
47,compress pdf for yahoo mail upload,PDF Compression,problem-solving,medium,97,UPGRADE,compress-pdf-for-yahoo-mail,/guides/compress-pdf-for-yahoo-mail,1500-4000,Thin template — rewrite to 1500+ words
70,how do i merge pdf files,PDF Workflows,informational,medium,97,UPGRADE,how-to-merge-pdf-files,/guides/how-to-merge-pdf-files,1500-4000,Thin template — rewrite to 1500+ words
594,sign pdf online,PDF Signing,transactional,medium,97,UPGRADE,sign-pdf,/guides/sign-pdf,1500-4000,
19,compress pdf for email,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-email,/guides/compress-pdf-for-email,1500-4000,Thin template — rewrite to 1500+ words
29,compress pdf for job application,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-job-application,/guides/compress-pdf-for-job-application,1500-4000,Thin template — rewrite to 1500+ words
31,compress pdf for LMS,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-lms,/guides/compress-pdf-for-lms,1500-4000,Thin template — rewrite to 1500+ words
34,compress pdf for passport,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-passport-application,/guides/compress-pdf-for-passport-application,1500-4000,Thin template — rewrite to 1500+ words
42,compress pdf for university,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-university-application,/guides/compress-pdf-for-university-application,1500-4000,Thin template — rewrite to 1500+ words
44,compress pdf for visa,PDF Compression,problem-solving,medium,96,UPGRADE,compress-pdf-for-visa-application,/guides/compress-pdf-for-visa-application,1500-4000,Thin template — rewrite to 1500+ words
91,how to convert pdf to text,PDF Conversion,informational,medium,96,UPGRADE,how-to-convert-pdf-to-text,/guides/how-to-convert-pdf-to-text,1500-4000,Thin template — rewrite to 1500+ words
92,ocr pdf for e-discovery,PDF Conversion,industry,medium,96,UPGRADE,ocr-pdf-ediscovery,/guides/ocr-pdf-ediscovery,1500-4000,Thin template — rewrite to 1500+ words
94,pdf to text accessibility,PDF Conversion,industry,medium,96,UPGRADE,pdf-to-text-accessibility,/guides/pdf-to-text-accessibility,1500-4000,Thin template — rewrite to 1500+ words
96,pdf to text for python,PDF Conversion,advanced,medium,96,UPGRADE,pdf-to-text-python-workflow,/guides/pdf-to-text-python-workflow,1500-4000,Thin template — rewrite to 1500+ words
99,pdf to text multilingual,PDF Conversion,advanced,medium,96,UPGRADE,pdf-to-text-multilingual,/guides/pdf-to-text-multilingual,1500-4000,Thin template — rewrite to 1500+ words
100,pdf to text on android,PDF Conversion,task-based,medium,96,UPGRADE,pdf-to-text-on-android,/guides/pdf-to-text-on-android,1500-4000,Thin template — rewrite to 1500+ words
101,pdf to text on iphone,PDF Conversion,task-based,medium,96,UPGRADE,pdf-to-text-on-iphone,/guides/pdf-to-text-on-iphone,1500-4000,Thin template — rewrite to 1500+ words
103,scanned pdf to text,PDF Conversion,informational,medium,96,UPGRADE,scanned-pdf-to-text,/guides/scanned-pdf-to-text,1500-4000,Thin template — rewrite to 1500+ words
58,how to compress pdf construction,PDF for Businesses,problem-solving,medium,94,UPGRADE,compress-pdf-construction,/guides/compress-pdf-construction,1500-4000,Thin template — rewrite to 1500+ words
